编号,整理建议,故事环节,实验用途,已有结果如何理解,下一步,证据质量提醒,协议组,实验族,记录方法,划分,记录seed,LoRA rank,精度类型,本地状态,首记录轮,末记录轮,记录点数,末20轮起点,末20轮终点,末20轮Overall,末20轮Head20,末20轮Middle60,末20轮Tail20,末20轮NonTail80,末20轮Many大于100,末20轮Medium20至100,末20轮Few小于20,最后记录Overall,最后记录Tail,观测Tail峰值,观测峰值轮,观测峰值至最后回落pp,逐类复算状态,缺类逐类文件数,相同曲线副本组,跨seed同曲线组,正常训练,额外训练,损失,聚合,正常steps,额外steps,本地总steps,功能修正steps,原始路径,推荐结果入口,曲线来源
Rd0ffb8eb6,待定用途,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,附录稳健性候选；不能拼成当前LoRA多seed结果。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,noniid-labeldir-fine,2026,,,已记录到第100轮或以后,1,100,100,81,100,64.201,88.0775,65.08500000000001,37.6725,70.833125,84.09,65.76571428571428,39.17166666666667,64.9,38.55,41.15,29,2.6000000000000014,逐类核对通过,0,,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/ExperimentD_Main/partition=noniid-labeldir-fine_alpha=0.5_IF=0.01_localE=3_seed=2026,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/ExperimentD_Main/partition=noniid-labeldir-fine_alpha=0.5_IF=0.01_localE=3_seed=2026,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/ExperimentD_Main/partition=noniid-labeldir-fine_alpha=0.5_IF=0.01_localE=3_seed=2026/round_metrics.csv
Rbef2894ae,待定用途,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,附录稳健性候选；不能拼成当前LoRA多seed结果。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,noniid-labeldir-fine,42,,,已记录到第100轮或以后,1,100,100,81,100,64.009,88.115,64.57333333333334,38.209999999999994,70.45875,83.68571428571428,65.39857142857143,39.431666666666665,64.32,38.8,41.55,42,2.75,逐类核对通过,0,,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/ExperimentD_Main/partition=noniid-labeldir-fine_alpha=0.5_IF=0.01_localE=3_seed=42,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/ExperimentD_Main/partition=noniid-labeldir-fine_alpha=0.5_IF=0.01_localE=3_seed=42,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/ExperimentD_Main/partition=noniid-labeldir-fine_alpha=0.5_IF=0.01_localE=3_seed=42/round_metrics.csv
R43036793e,待定用途,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,附录稳健性候选；不能拼成当前LoRA多seed结果。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,noniid-labeldir-fine,1,,,短运行或本地结果不完整,1,5,5,,,,,,,,,,,57.14,32.9,36.5,3,3.6000000000000014,逐类核对通过,0,,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/ExpF_smoke/partition=noniid-labeldir-fine_beta=0.5_IF=0.01_localE=5_seed=1,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/ExpF_smoke/partition=noniid-labeldir-fine_beta=0.5_IF=0.01_localE=5_seed=1,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/ExpF_smoke/partition=noniid-labeldir-fine_beta=0.5_IF=0.01_localE=5_seed=1/round_metrics.csv
Rd2ed2eb69,待定用途,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,附录稳健性候选；不能拼成当前LoRA多seed结果。,本地未发现标准精度CSV；部分诊断入口按设计在全局测试前结束。,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,,,,,,只有日志或配置，未发现精度结果,,,0,,,,,,,,,,,,,,,,缺少可交叉核对的分组或逐类文件,0,,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.1_rho=3.0_IF=0.01_localE=3_seed=1,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.1_rho=3.0_IF=0.01_localE=3_seed=1,per_class CSV
R6610f5fba,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,client-longtail,2026,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,59.66,19.35,24.9,21,5.549999999999997,逐类核对通过,0,Dd00f8e42,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.1_rho=3.0_IF=0.01_localE=3_seed=2026,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.1_rho=3.0_IF=0.01_localE=3_seed=2026,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.1_rho=3.0_IF=0.01_localE=3_seed=2026/round_metrics.csv
R193f97cb2,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,client-longtail,42,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,61.24,23.05,25.1,96,2.0500000000000007,逐类核对通过,0,D844dc6a4,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.1_rho=3.0_IF=0.01_localE=3_seed=42,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.1_rho=3.0_IF=0.01_localE=3_seed=42,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.1_rho=3.0_IF=0.01_localE=3_seed=42/round_metrics.csv
R8af39ce66,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,client-longtail,1,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,60.06,20.05,22.85,21,2.8000000000000007,逐类核对通过,0,Dd90d2dde,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.25_rho=3.0_IF=0.01_localE=3_seed=1,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.25_rho=3.0_IF=0.01_localE=3_seed=1,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.25_rho=3.0_IF=0.01_localE=3_seed=1/round_metrics.csv
Rfff91e5b9,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,client-longtail,2026,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,60.5,19.3,22.15,26,2.849999999999998,逐类核对通过,0,Dcda2911b,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.25_rho=3.0_IF=0.01_localE=3_seed=2026,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.25_rho=3.0_IF=0.01_localE=3_seed=2026,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.25_rho=3.0_IF=0.01_localE=3_seed=2026/round_metrics.csv
Rb57091eec,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,client-longtail,42,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,61.16,21.55,23.2,46,1.6499999999999986,逐类核对通过,0,D18a298e2,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.25_rho=3.0_IF=0.01_localE=3_seed=42,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.25_rho=3.0_IF=0.01_localE=3_seed=42,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.25_rho=3.0_IF=0.01_localE=3_seed=42/round_metrics.csv
Rd4029ca45,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,client-longtail,1,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,60.58,17.5,21.4,26,3.8999999999999986,逐类核对通过,0,D71613aac,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.5_rho=3.0_IF=0.01_localE=3_seed=1,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.5_rho=3.0_IF=0.01_localE=3_seed=1,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.5_rho=3.0_IF=0.01_localE=3_seed=1/round_metrics.csv
Rfafbf466e,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,client-longtail,2026,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,60.05,17.85,19.65,26,1.7999999999999972,逐类核对通过,0,D2816c9cd,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.5_rho=3.0_IF=0.01_localE=3_seed=2026,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.5_rho=3.0_IF=0.01_localE=3_seed=2026,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.5_rho=3.0_IF=0.01_localE=3_seed=2026/round_metrics.csv
R39a2b1872,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,client-longtail,42,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,60.86,19.25,20.0,16,0.75,逐类核对通过,0,D7b6908e2,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.5_rho=3.0_IF=0.01_localE=3_seed=42,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.5_rho=3.0_IF=0.01_localE=3_seed=42,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.5_rho=3.0_IF=0.01_localE=3_seed=42/round_metrics.csv
R9b641345f,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,client-longtail,1,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,60.58,18.35,19.25,76,0.8999999999999986,逐类核对通过,0,Df0bdf120,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.75_rho=3.0_IF=0.01_localE=3_seed=1,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.75_rho=3.0_IF=0.01_localE=3_seed=1,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.75_rho=3.0_IF=0.01_localE=3_seed=1/round_metrics.csv
Rbcce62c18,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,client-longtail,2026,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,60.01,16.85,18.6,51,1.75,逐类核对通过,0,Dc47cdebe,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.75_rho=3.0_IF=0.01_localE=3_seed=2026,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.75_rho=3.0_IF=0.01_localE=3_seed=2026,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.75_rho=3.0_IF=0.01_localE=3_seed=2026/round_metrics.csv
R2b2f21851,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,client-longtail,42,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,59.78,16.5,20.7,31,4.199999999999999,逐类核对通过,0,D846f4ff6,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.75_rho=3.0_IF=0.01_localE=3_seed=42,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.75_rho=3.0_IF=0.01_localE=3_seed=42,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=0.75_rho=3.0_IF=0.01_localE=3_seed=42/round_metrics.csv
R3f29d55e9,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,client-longtail,1,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,60.67,18.55,20.4,31,1.8499999999999979,逐类核对通过,0,D228d8e8c,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=1.0_rho=3.0_IF=0.01_localE=3_seed=1,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=1.0_rho=3.0_IF=0.01_localE=3_seed=1,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=1.0_rho=3.0_IF=0.01_localE=3_seed=1/round_metrics.csv
R153af8dec,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,client-longtail,2026,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,60.55,18.1,19.7,36,1.5999999999999979,逐类核对通过,0,D0896118c,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=1.0_rho=3.0_IF=0.01_localE=3_seed=2026,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=1.0_rho=3.0_IF=0.01_localE=3_seed=2026,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=1.0_rho=3.0_IF=0.01_localE=3_seed=2026/round_metrics.csv
Ra75482398,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,client-longtail,42,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,60.82,16.9,18.55,26,1.6500000000000021,逐类核对通过,0,D571eda4b,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=1.0_rho=3.0_IF=0.01_localE=3_seed=42,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=1.0_rho=3.0_IF=0.01_localE=3_seed=42,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=client-longtail_lambda=0.75_alpha=1.0_rho=3.0_IF=0.01_localE=3_seed=42/round_metrics.csv
Rc6ad1a5a3,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,noniid-labeldir-fine,1,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,64.24,38.95,42.3,16,3.3499999999999943,逐类核对通过,0,Df2e9b372,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.1_IF=0.01_localE=3_seed=1,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.1_IF=0.01_localE=3_seed=1,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.1_IF=0.01_localE=3_seed=1/round_metrics.csv
R5682b5c0b,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,noniid-labeldir-fine,2026,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,64.04,39.75,41.85,41,2.1000000000000014,逐类核对通过,0,Dc60dc8d5,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.1_IF=0.01_localE=3_seed=2026,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.1_IF=0.01_localE=3_seed=2026,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.1_IF=0.01_localE=3_seed=2026/round_metrics.csv
R8f76f5155,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,noniid-labeldir-fine,42,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,62.55,35.05,38.65,36,3.6000000000000014,逐类核对通过,0,D930b75fd,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.1_IF=0.01_localE=3_seed=42,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.1_IF=0.01_localE=3_seed=42,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.1_IF=0.01_localE=3_seed=42/round_metrics.csv
Ra1794f8bf,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,noniid-labeldir-fine,1,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,64.46,38.05,39.95,66,1.9000000000000057,逐类核对通过,0,Dc4626fb8,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.25_IF=0.01_localE=3_seed=1,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.25_IF=0.01_localE=3_seed=1,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.25_IF=0.01_localE=3_seed=1/round_metrics.csv
R761f4a54b,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,noniid-labeldir-fine,2026,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,65.17,38.95,40.3,26,1.3499999999999943,逐类核对通过,0,Dbfc53ae2,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.25_IF=0.01_localE=3_seed=2026,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.25_IF=0.01_localE=3_seed=2026,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.25_IF=0.01_localE=3_seed=2026/round_metrics.csv
R4c98d30f5,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,noniid-labeldir-fine,42,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,64.6,39.3,41.2,56,1.9000000000000057,逐类核对通过,0,D81eae109,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.25_IF=0.01_localE=3_seed=42,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.25_IF=0.01_localE=3_seed=42,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.25_IF=0.01_localE=3_seed=42/round_metrics.csv
R1d17d759f,建议归档,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,H2 历史PromptFL，按参与率/localE/seed另分组,cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,PromptFL,noniid-labeldir-fine,1,,,已记录到第100轮或以后,1,100,21,,,,,,,,,,,64.55,37.25,39.6,56,2.3500000000000014,逐类核对通过,0,Dd3dc83f9,,,,,,,,,,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.5_IF=0.01_localE=3_seed=1,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.5_IF=0.01_localE=3_seed=1,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.5_IF=0.01_localE=3_seed=1/round_metrics.csv
